OBJECTID,AWARD_WINNER,PROJECT_DESCRIPTION,RECIPIENT_S,YEAR,CATEGORY,LOCATION,CITY,COORDINATES
31,Stinson School Lofts,"Designed by the Hamilton architect Alfred W. Peene and built in 1884. In 1914, an addition was constructed south of the school and later in 1959; a gymnasium was added between the two buildings.The building was purchased in 2009 for conversion into residential condominiums. The conversion required the construction of an addition to unite the two buildings on the site. This modern addition was designed to be architecturally distinct, allowing the two heritage structures to maintain their visual identities. Further, the addition was designed to emphasize the visual prominence of the original school buildings by using dark materials and glass.

The renovations to the school buildings included a host of new mechanical systems and elevators that were carefully knit into the fabric of the building without significantly altering the heritage and architectural character.
","Stinson School Inc., ICON Architects Inc., Lintack Architects Inc., Kent Rawson Architect, Adesso Design Inc.",2015,Award of Outstanding Achievement & Excellence in Adaptive Reuse,200 Stinson Street,Hamilton,"-79.85270450000002,43.2470208,0.0"
32,Arts Centre and Lofts,The project is an adaptive re-use of an historic building into a performing arts centre and affordable housing for artists. The renovation focuses on inspirational elements from the artistic community which is presented through two storey storefront glass and faceted metal panels that provides delineation from the restored masonry above. The angled and sculpted metal storefront is deeply recessed to create visual emphasis and provides a placemaking element on the streetscape. The large Brazilian cherry pivot door of the arts centre entrance includes custom pulls that add another strong design feature.,"CityHousing Hamilton, TCA/Thier + Curran Architects Ltd., Maitland Spencer Engineering Ltd., Copa Engineering Ltd., Fortech Engineering Ltd.",2015,Award of Excellence in Design & Urban Regeneration,95 King Street East,Hamilton,"-79.86616329999998,43.255746,0.0"
33,123 James Street North,"A new office and retail building located in the heart of the James Street North arts district. The site was once the home of the Tribune newspaper and more recently functioned as a surface parking lot.This new 3 storey building is designed to fit into James Street North and contribute to the heritage character of the streetscape. As a corner building, it is highly visible from two streets. The design features a distinctive glass tower that anchors the building to the corner and the use of high quality exterior materials. The ground floor features large windows that promote interaction and vibrancy with the streetscape, both day and night. The second and third floors of the building provide office space which attracts employment uses to the Downtown and complements a wide variety of businesses in the area.
","J. Beurne Real Estate, Lintack Architects Inc., Webb Planning Consultants, Strik, Baldinelli, Moniz, El-Hamzawi Engineering Ltd., Fortech Engineering Ltd.",2015,Award of Excellence in Design & Urban Regeneration,123 James Street North,Hamilton,"-79.86786440000003,43.2601906,0.0"
34,Empire Times,The project is an adaptive re-use of an historic building into a performing arts centre and affordable housing for artists. The renovation focuses on inspirational elements from the artistic community which is presented through two storey storefront glass and faceted metal panels that provides delineation from the restored masonry above. The angled and sculpted metal storefront is deeply recessed to create visual emphasis and provides a placemaking element on the streetscape. The large Brazilian cherry pivot door of the arts centre entrance includes custom pulls that add another strong design feature.,"Core Urban Inc., Lintack Architects Inc, Strik, Baldinelli, Moniz, Weekes Engineering ",2015,Award of Execllence in Design & Urban Regernation,42-45 King William Street,Hamilton,"-79.8672496,43.2572675,0.0"
35,Gore Park Pedestrianization Initiative & Veterans' Place,"This urban park required a comprehensive overhaul to better support community functions, attract more people, improve comfort and safety, upgrade functional systems, and reinvigorate the Gore. The Pedestrianization Initiative is the first of planned phases identified by the Gore Park Master Plan for the revitalization of Gore Park. Through an extensive community engagement process, a single vision emerged for Gore Park that balanced the community's objectives for a meaningful and high quality public realm.The Veterans' Place section of Gore Park is the first completed section of the pedestrian promenade, and involved relocating the heritage Cenotaph, creating an open lawn and a series of new memorial interpretive panels.
","City of Hamilton - Public Works Department Landscape Architectural Services, Planning and Economic Development Tourism and Culture Division, Vertain's Committee, MBTW Group, AECOM",2015,Award of Outstanding Achievement & Excellence in Urban Design,,Hamilton,"-79.8678913,43.256003,0.0"
37,Stoney Creek Recreation Centre,"This facility is located in the heart of Stoney Creek, near Battlefield Park. It is an aquatic complex that includes a leisure pool, training pool, change rooms and multipurpose rooms. It is part of a larger site that contains an existing arena. The building has a front yard setback that is similar to the existing residences. The glazing provides a view of the activities within the pool area, while a pedestrian plaza leads you from the sidewalk through the site.","Lintack Architects Inc., RDH Architects Inc., PMA Landscape Architects Ltd., Aquicon Construction Co Ltd.",2013,Award of Merit in Architecture,45 King Street West,Stoney Creek,"-79.7631158,43.2177624,0.0"
38,Mokrycke Residence,"This residence is located on the narrow sandbar that separates Lake Ontario form the Hamilton Bay. The design of the building respects the past built fabric of Hamilton’s beach community. It is constructed with cedar shake siding, and includes large expanses of windows. The mature trees on site are preserved, augmented by many new plantings. Terraces on the second floor overlook the landscaped courtyard.",John Mokrycke Architect (Architect & General Contractor),2013,Award of Merit in Architecture,1038 Beach Boulevard,Hamilton,"-79.79157099999998,43.2905613,0.0"
39,Phoenix Pub & Restaurant,"This renovated space is located within the Refectory building in the historic core of the McMaster University Campus, which is designated under the Ontario Heritage Act. The Refectory building was constructed in 1930, as a Dining Hall and Central Plant. The design concept was to create a space that highlights the original interior features of the Dining Hall while providing a modern multi-functional dining/pub experience.
The project includes an entire interior renovation with new commercial kitchen, mechanical and electrical systems, and an updated exterior patio
","McCallum Sather Architects Inc., MHBC Planning - Urban Design & Landscape, Architecture (Landscape Architect),  Bestco Construction Ltd.",2013,Award of Merit in Heritage Conservation,1280 Main Street West,Hamilton,"-79.9210747,43.2629281,0.0"
40,Dundas Valley School of Art,"The building was constructed in 1836 and began as the Canada Screw Works. An addition was constructed in 1941 to replicate features of the original building design. The Dundas Valley School of Art established itself here in 1970. The building underwent a complete renovation to bring the facility up to code, improve energy efficiency and meet accessibility standards. The intention was to completely upgrade the facility, while respecting the original materials and design.
","Invizij Architects and Garwood-Jones & Hanham Architects, Ira McDonald Construction",2013,Award of Merit in Heritage Conservation,21 Ogilvie Street,Dundas,"-79.9543185,43.2648065,0.0"
41,Ancaster Gateway Entrance Feature,"This streetscape feature is located on Wilson Street at the entrance to the historical Downtown Ancaster. The new gateway is designed to be a focal point at the entrance to the Business Improvement Area. It also provides an accessible pedestrian and bicycle crossing, connecting people to the realigned trail system. It incorporates materials that are found in the nearby heritage buildings such as Wiarton Limestone and wrought iron.","City of Hamilton - Urban Renewal, New Alliance Ltd., Dillon Consulting ",2013,Award of Merit in Streetscape,"Wilson Street East, West of Halson Street",Ancaster,"-79.9781914,43.2238254,0.0"
66,STARRT Institute,"The Institute enables the college to deliver 35% more apprentices to the region. The project includes the creation of a new faciltiy with 88,000 square feet of state-of-the-art instructional spaces and the refurbishment and renovation of existing structure to provide 4,600 students with upgraded labs, classrooms and shops.","Diamond and Schmitt Architects Inc., Read Jones Christoffersen Consulting, Engineers, MCW Consultants Ltd., The Atlas Corporation Inc.",2009,Award of Merit in Architectural Design,481 Barton Street,Stoney Creek,"-79.71256729999999,43.2268839,0.0"
67,Prince of Wales Elementary School,An elementary school located in the heart of East Hamilton. This new building replaces an older three-storey building with a state-of-the-art facility and up-to-date class amenities. The three-storey mass with large expanses of glass windows to permit natural light to enter the classrooms while enhacning visibility into the  community.,"Ventin Group Limited Architects, Wendy Shearer Landscape Architect, Truax Engineering, Bondfield Construction",2009,Award of Merit in Urban Design,77 Melrose Avenue North,Hamilton,"-79.83197719999998,43.2526045,0.0"
68,Dundas Driving Park,"An historical feature of downtown Dundas which was initially used as a horse-racing track, the ring road still has the quality of the former racing oval. The project included new washrooms, a bandshel, performance stage, Zamboni storage building, artificial outdoor ice rink surface, new ading pool and splash pad, renovated pee-wee ball diamonds, beach volleyball and improved vehiculra and pestrian circulation. ","DuToit Allsopp Hillier, Lintack Architects Inc., PMA Landscape Engineering Ltd., MTE Consultants Inc., Finelli Engineering Ltd., Corporate Construction",2009,Award of Excellence in Healthy Communities,Between Park Street East and Sydenham Road,Dundas,"-79.9509774,43.2719708,0.0"
69,West Village Suites,"This building serves as a student resiednce featuring 449 student bedroom units, a fitness studio, common rooms and much more. This building achieved LEED Platinum status. The building's many environmental features include solar power, smart meters, reflective roofing membraces and rain water collection for toilet flushing 'grey water'. This mid-rise development addreses the street with storefronts and a large patio on the ground floor and student apartments on top. The overall mass of te building has been shaped and terraced to reduce shadowing and create a visually interseting  silhouette.","Lintack Architects Incorporated, IBI Group, Emcad Consulting Engineers Inc., Tacoma Engineers, Dundurn Edge Developments Inc.",2009,Award of Excellence in Sustainable Design,1685 Main Street West,Hamilton,"-79.93419619999997,43.2567014,0.0"
70,Ancaster Carriage Works,"The overall theme of this project was desinged to be sympathetic to the village character of Ancaster. A clustering of the buildings allows interaction between eachother around a central open space reinforcing village appeal and creating a dynamic arrangement of faces, windows and rooflines. The site features two older stone buildings with historical design elements that were repeated in the new buildings. The overall affect was to create a clustering that blended into the architectural vernacular.","Kaj Devai Architect, Fothergill Planning and Development Inc., A.E. Bowler Associates",2009,Award of Excellence in Contextual Architecture,231-253 Wilson Street East,Ancaster,"-79.9781504,43.2241568,0.0"
71,Heritage Greene Mixed Use Development,"Heritage Greene is a 21-hectare, mixed-use develpoment, which includes retail, entertainment, service, restaurant, residential and office space. It is recognized for its enhanced streetscaping featuring the City of Hamilton's Urban Braille system, pedestrian scale lighting, boulevard planting street trees and public transit lay-by areas. Urban design guidelines were created to steer the scale, height, colour, texture, siting and built form of all proposed buildings. ","Sam Esposto Architect Inc., Almost There Inc., G. O'Connor Consultants Inc., Urbex Engineering Limited, MTE Consultants Inc., D&D Contracting, Oakridge Landscape Contractors Ltd.",2009,"Award of Excellence in Community Design, People's Choice Award",1875 Stone Church Road East,Stoney Creek,"-79.81217889999999,43.1920852,0.0"
72,Engineering Technology Building,"The 125,00 square foot state of the art building supports the Faculty of Engineering expansion into emerging areas of research and study. The building is home to the first-year engineering prgroam of McMaster-Mohawk Bachelor of Technology Partnership. It consits of teaching studios, study space, tutorial rooms, and classrooms. The School of Biomedical Engineering and the Walter G. Booth School of Engineering Practice are located in the new building. Space is also designated for a new Biointerfaces Institute and research initiatives in nanotechnology and micro-systems.
The Engineering Technology Building is designed to LEED environmental standards and as a teaching tool
","Vermeulen Hind Architects Inc., Fleisher Ridout Partnership Inc., Halcrow Yolles, Vanderwesten Rutherford Mantecon Inc., Enermodal Engineering, Bird Construction Company",2009,Award of Excellence in Architectural Design,1280 Main Street West,Hamilton,"-79.91924319999998,43.25856719999999,0.0"
73,The Gown and Gavel Pub,"The project aimed to create an upscale, modern entertainment complex that preserved and enhanced the heritage character of both buildings while providing a contemporary English-style pub experience. A kitchen and washroom was built to link the two buildings. The south house comprises of a lofty three storey pavilion with a central racetrack-style and the north house retains part of the second floor as a nazznine open to the main bar below. New openings on all sides of the interior space within the pub encourage flow and promote transparency.","TCA/Thier Curran Architects, Copa Engineering Ltd., Wintek Engineering Ltd., Hllex Engineering Ltd., Aldershot Landscape Contractors Ltd.",2009,Award of Excellence in Urban Design,24 Hess Street South,Hamilton,"-79.87785280000003,43.25839879999999,0.0"
74,McMaster Innovation Park,"The new Innovation Park for McMaster University provides a framework to facilitate and accelerate the transfer and commercialization of university, government and allied industry research to the marketplace. The vision for this project was to build the physical and networking infrastructure to underpin a strong relationship between University research, college training and applied research, government lab research, the private sector and all levels of government. It creates a focal point for regional economic development, job creation and the development of knowledge based economic clusters in auto/materials and manufacturing and biosciences.
","Lintack Architects Incorporated, Webb Planning Consultants Inc., G. O'Connor Consultants Inc., Sandwell Consulting Engineers Ltd., A.J. Clarke and Associates Ltd., Ira McDonald Consutrction Ltd.",2009,Award of Excellence in Overall Design and Adaptive Reuse,175 Hess Street South,Hamilton,"-79.90066490000004,43.256778,0.0"
75,The James North Art Crawl,"On the second Friday evening of every month this event programs the historic James Street North streetscape from Murray to King Street with an eclectic array of gallery openings, performances and outdoor art reflective of the emerging arts community in the area. The organization of the event is informal and is funded by those organizations and businesses who participate.",The Gallery and Studies of the James North Community,2007,Award of Merit for Visionary Project,James Street North between Murray and King Streets,Hamilton,"-79.8667415,43.2621251,0.0"
76,Woodward Environmental Laboratory,"A new 2,400 square metre laboratory facility where municipal water and waste water is tested and the monitoring of the existing adjacent wastewater treatment plant is conducted. The facility is one of the first truly sustainable laboratories in Ontario and is designed to be one of Hamilton's first Leadership in Energy and Environmental Design or LEED Silver Certified buildings.","McCallum Sather Architects Inc., Wendy Shearer Landscape Architect Limited, Vanderwestern and Rutherford Associates Inc., Aquicon Construction Company Limited",2007,Award of Merit for Architecture,700 Woodward Avenue,Hamilton,"-79.77418239999997,43.2532267,0.0"
77,Southwest Crossings ,"The development involves the incremental renovation and adaptive re-use of a series of circa 1890 former residential buildings at the corner of Queen and Main Streets, a prominent site at the entrance to downtown Hamilton.","Brownswharf Development Corporation, Southwest Crossings Limited, Pocrnic Realty Advisors Incorporated, SLV Designs Limited, Connon Nurseries",2007,Award of Merit for Adaptive Reuse,"231 Main Street West, 67 and 69 Queen Street South",Hamilton,"-79.87923969999997,43.2575717,0.0"
78,Landscapes of Ancaster,This is a fifty three unit townhouse development on a greenfield site in the heart of the residential section of the new Meadowlands neighbourhood in Ancaster.,"McCallum Sather Architects Inc., Johnes Khes Planning Solution, Seferian Design Group Limited",2007,Award of Merit for Overall Design,Stonehenge Drive,Ancaster,"-79.94687599999997,43.2173383,0.0"
79,McMaster University Faculty of Health Science Library,The project is a renovation of and addition to the McMaster University Medical Centre Health Sciences Library to accommodate a renewed and expanded library. The new addition to the building is a two-storey reading room and an exterior landscaped plaza that redefines the entrance to the medical centre and creates a new relationship with the campus for a library that was originally isolated behind concrete walls.,"McCallum Sather Architects Inc., GSP Group, Yolles, Group Eight Engineering Limited, Dineen Construction Corporation",2007,Award of Excellence in Architecture,1200 Main Street West,Hamilton,"-79.9180333,43.2592736,0.0"
80,Stone Church Family Health Centre,"This design transformed a former insurance company vehicle inspection and claims centre into a community health clinic. The design team used new landscaping areas reclaimed from the parking area, new windows and sustainable design features to create a peaceful and welcoming environment that provides a sense of wellness in the context of suburban strip mall development.","TCA/Thier Curran Architects, PMA Landscape Architects, Kenneth Youngs Engineering, S.P Design, COPA Engineering, Wintek BSD Incorporated, TRP Construction General Contractors, STF Construction",2007,Award of Excellence in Adaptive Reuse,1475 Upper Ottawa Street,Hamilton,"-79.8414194,43.1952505,0.0"
81,The MacNab Terrace,"The project involved the façade restoration and renovation of the two centre units of the six unit MacNab Terrace, a heritage property, designated under the Ontario Heritage Act, that was constructed in 1879 by local architect James Balfour. Through a series of restoration projects and a rear addition the owners have transformed the house into a successful guest houes and their private residence.","John Mokrycke Architect, Lets Landscape Together Incorporated, Field Consultants Limited, Assyrian Star Construction, Dave Thompson, Langton Mechanical",2007,Award of Excellence in Heritage Conservation,256-258 MacNab Street North,Hamilton,"-79.86692920000002,43.26502139999999,0.0"
82,East Kiwanis Place,"A small urban plaza located on a prominent corner at the heart of the Ottawa Street Business Improvement Area. Once an empty lot resulting from a tragic fire, the East Kiwanis, the Local BIA and City of Hamilton collaberated to create a public space which celebrates the sewing, fabric and home decor businesses that have defined the area for decades.","City of Hamilton- Public Works Department, Open Space Development and Park Planning Section, The Kiwanis Club of Greater Hamilton, The Ottawa Street Business Improvement Area, City of Hamilton Downtow",2007,Award of Excellence in Landscape Architecture,263 Ottawa Street North,Hamilton,"-79.81330200000002,43.258111,0.0"
83,The Tick Residence,"The project is a 3,100 square foot detached home on a corner lot backing onto escarpment land in a new subdivision in Ancaster. This innovative project employs many principles of sustainable design in both architectural and site design. The bold modern style architecture and landscape take advantage of the site and views into the neighboring escarpment lands. As well, the design takes advantage of the sloping site to locate the garage flush with the wall of house to rear of the site at the lower level which minimized its impact on the street.","Jennifer Turner Architect, David Machiulis, Blackwell Bowick Partnership, Thomas Cochren Homes",2005,Award of Merit in Excellence in Overall Design,,Ancaster,"-79.9591509,43.2342244,0.0"
84,Dundurn National Historic Site Landscape Conservation Master Plan and Implementation,"The project involves the resotration of the landcsape of Dundurn National Historic Site to reflect its original picturesque landscape dating from the early 1860's The 32 acre site consists of part of the original grounds of the 1832 Dundurn Castle and has been used as a municipal park since 1900. The origional kitchen garden and the drive shed were reconstructed, specific views were opened to the harbour, appropriate period plantings were undertaken and new amenities such as picnic shelter and playground were constructed.","Wendy Shearer Landscape Architect Limited, McCallum Sather Architects Inc., MJS Consultants, Peninsula Construcction",2005,Award of Merit in Excellence in Heritage Conservation,,Hamilton,"-79.884277,43.26952799999999,0.0"
85,The Annex,Conversion of a circa 1930 warehouse building that had been abandoned in the early 1990's to a forty unit condomonium with street related commercial. The project is located in the historic core of downtown Hamilton.,"Lintack Architects Inc., El-Hamzawi Engineering Ltd., Planning and Engineering Initiatives Ltd., Lee Yung & Associates Inc., Demik Construction Ltd.",2005,"Award of Merit in Excellence in Landscape Architecture, Award of Merit in Excellence in Adaptive Reuse",118 James Street North,Hamilton,"-79.86761489999998,43.2585412,0.0"
52,Mohawk College 'The Learning Exchange',"The Cummings Library and Collaboratory are part of Mohawk College’s new “Learning Exchange”. This state-of-the-art addition to the college boasts a modern take on the “library” by providing numerous resources to students in digital formats. Architecturally, the most notable features of the building include the three-storey curtain wall of coloured glass that is visible from Fennell Avenue, and the long enclosed corridor that begins with a projecting entrance canopy. In the new landscaped courtyard, large red letters that spell “MOHAWK” promoting the campus’ new orientation to the street. The design of the Learning Exchange includes environmental technologies such as solar and wind energy.","Architects & Contractors, Zeidler Partnership Architects, IBI Group, Halcrow Yolles, Lintack Architects Inc., Oakridge Landscaping",2011,Award of Merit in Architecture & Sustainability,123 Fennell Avenue,Hamilton,"-79.8847149,43.2375351,0.0"
53,Bridgewater Court,"In response to the need for affordable housing, the City of Hamilton initiated the construction of 45 housing units on the Stoney Creek Mountain near the Felker Creek waterway. Located within an established residential area the development is also near a large commercial development along Paramount Drive and Mud Street where access to public transit is available. ","Cynthia Zahoruk Architect Inc., Ron Kourdys Landscape Architect, Spallacci Construction Ltd.",2011,Award of Merit in Urban Design,4 Bridgewater Court,Stoney Creek,"-79.79129790000002,43.1967821,0.0"
54,Good Shepherd Women's Services Centre,"A temporary refuse home for women in crisis. The layout of this building is formed by two separate shelters around a central garden courtyard creating a space for safe outdoor gatherings in a tight urban setting. Merging with the character of the community, the Centre works to enhance the dignity, self-respect and confidence of its residents. Its understated street facade is modulated into five unique elements designed to mimic the massing of adjacent houses with their familiar urban rhythm. This development is part of the Good Shepherd Square which also includes two contemporary eight-storey residential buildings arranged around a landscaped courtyard. ","TCA/Thier + Curran Architects Inc., PMA Landscape Architects Ltd., Maple Reinders Constructors Ltd.",2011,Award of Merit in Urban Design,30 Pearl Street North,Hamilton,"-79.8812891,43.2612274,0.0"
55,St. Thomas Lofts,The aim of this project was to adaptively reuse a church in Waterdown converting it into seven residential units. The St. Thomas Catholic Church is a designated heritage building and its conversion had to be sensitive to the heritage features of the building. The principal changes to the exterior of the building was the replacement of exterior windows and doors and the addition of six dormers to provide light into the new loft spaces inside. ,"Cynthia Zahoruk Architect Inc., Ron Kourdys Landscape Architect, Schilthuis and Sons Ltd., Hallex Engineering Ltd.",2011,Award of Merit in Adaptive Reuse,40 Flamboro Street,Flamborough,"-79.89269039999999,43.33197849999999,0.0"
56,Hamilton City Hall,"Hamilton City Hall was originally designed by Stanley Roscoe, a well known Hamilton Architect responsible for numerous modern buildings in Hamilton. The building first opened in 1960 showcasing a new modern spirit expressed by the “International Style” of the architecture. The building is an iconic symbol in Hamilton, yet after 46 years of service the building needed a total interior and xterior renovation to support the needs of Hamiltonians today and into the future. The building is a designated heritage building and the renovations had to be sensitive to its many heritage features such as the interior murals, glass tile, and uniquely designed interior stairs.","Garwood-Jones & HanHam Architects, MHBC Planning/Wendy Shearer Landscape Architect, McCallum Sather Architects Inc., Ellis Don Corporation, +VG Arhitects the Ventin Group Ltd., Black & McDonald",2011,Award of Merit in Restoration,71 Main Street West,Hamilton,"-79.87316770000001,43.2554364,0.0"
57,MacNab Transit Terminal,"The new MacNab Transit Terminal between King Street West and Main Street West provides an important upgrade to the public transportation network in the City, while at the same time contributing a valuable new public urban space. The design is contemporary and utilizes minimal, clean-lined components to convey a sense of lightness and transparency throughout. Long linear canopies provide continuous shelter and shade over the passenger platforms, which are enlivened by punchy primary accent colours on signage and graphics, warmly stained cedar soffits, and green hues of natural plantings. Both the terminal building and canopies feature green roofs to reduce the urban heat island effect and enhance views from nearby tall buildings.","DTAH, Sona Consutrction Ltd., McCormick Rankin Corporation, MMM Group",2011,Award of Merit in Healthy Communities ,7 MacNab Street South,Hamilton,"-79.87110330000002,43.2561438,0.0"
58,Branthaven Beach House,"The Branthaven Beach House development includes 36 townhouses, 16 maisonettes and four apartment units above a commercial space. This mixed-use development has a crescent street design with two entrances off Beach Boulevard. Vistas of the lake from the street are possible due to the layout of the development and the pedestrian promenade in the centre.","Orchard Design, IBI Group, MTE Consultants Inc.",2011,Award of Excellenec in Urban Design,"315, 337 and 351 Beach Boulevard",Hamilton,"-79.7783417,43.2722672,0.0"
59,West Avenue Residences,"The adaptive reuse of this former school contributes to the revitalization of the Barton West neighbourhood. The West Avenue School is a designated heritage building and is potentially the first major renovation of a Canadian heritage building to obtain LEED Gold certification. The original 1885 portion of the school, 1921 addition, and 1952 gymnasium have been converted into 27 affordable apartment units.","Cynthia Zahoruk Architect Inc., Ron Kourdys Landscape Architect, Hallex Engineering Ltd.",2011,Award of Excellence in Adaptive Reuse,255 West Avenue North,Hamilton,"-79.85503560000001,43.2611157,0.0"
60,Canmet Materials Technology Laboratory,"The three-storey, 174,300 square foot building incorporates state of-the-art industrial labs designed to foster relationships between government, academic research, and industry. The building is a showpiece of sustainable design rehabilitating a brownfield site and targeting LEEDTM Platinum. This building is a tour-de-force of passive and active sustainable technologies such as geothermal heating and cooling, radiating in floor heating, photovoltaic cells, solar walls, solar shades, and light reflecting materials. ","Natural Resources Canada, Diamond & Schmitt Architects Inc., GSP Group, Ellis Don Corporation",2011,Award of Excellence in Architecture and Sustainability,183 Longwood Road South,Hamilton,"-79.9013678,43.2565472,0.0"
61,Urban Sustainability 'The Edible Landscape',"Located in the forecourt of Hamilton City Hall, this project demonstrates how a municipal garden promotes healthy communities by exhibiting urban agriculture and urban sustainability through the effective use of edible plants. Since gardening, cooking, and eating are universal experiences the project resonates with passers by and the display of large leafy plants creates an attractive environment for those who work and visit City Hall. Several hundred pounds of produce has been harvested and supplied to Foodshare Hamilton to provide nutritious meals for many. This garden exhibits the City’s commitment to the environment and to the health of its residents. ","City of Hamilton - Public Works Department, Environmental Services Section",2011,Award of Excellence in Landscape Architecture,71 Main Street West,Hamilton,"-79.8738999,43.2557333,0.0"
62,The Lister Block,"Built in 1924 by Bernard Prack and Piggott Construction, the Lister Block was once used as a thriving mall and office building but had closed in the 1990's. In 2008, the restoration and rehabilitation on the building began. A designated heritage building, the plan was to restore key features of the building such as the terra cotta glazed façade, the copper window spandrels, restoration of the interior ornate plaster work and skylights, and the marble and terrazzo to list just a few. At the same time, new mechanical and electrical systems and life safety components had to be incorporated without affecting the protected interior features. ","Hi-Rise Group, City of Hamilton, WGD Architects Inc., Julian Smith & Associates Architects, Greenferd Construction Inc.",2011,Award of Outstanding Achievement & Excellence in Restoration,28-50 James Street North,Hamilton,"-79.86832019999997,43.2577507,0.0"
63,The Gore Building,"In response to the growing need for downtown housing, the City of Hamilton initiated the construction of this five storey mixed-use development. It accomodates 16 residential one-bedroom units and two large commercial units located on the ground floor. The front elevation of the new Gore Building reflects some of the architectural featores of other downtown buildings. Large south facing sliding glass doors with railings allow for a unique experience of the downtown.","Gradd Grguric, Architects Incorporated",2009,Honourable Mention,89 King Street East,Hamilton,"-79.86615870000003,43.25596729999999,0.0"
64,Terrace on King,"This project replaced a vacant three storey building with an eleven-storey, all brick, mixed-use building accomodating two ground floor retail units, 123 resiedntial units, underground parking, second floor roof garden and a fourth floor roof terrace.","Lorne Haverty Ltd., Kathryn Vogel Architect",2009,Honourable Mention,260 King Street East,Hamilton,"-79.8613183,43.25389300000001,0.0"
65,Ottawa Street Gateways,"Two of these unique eight metre tall features located at the boundaries of the Ottawa Street Business Improvement Area (BIA) demarcate the facbric district. The goal of the project was  to design a gateway feature to reinforce the themes along the street be expressing elements that are related to dewing and fabrics. In each case, an aged pre-cast concrete pole with an existing globe light fixture was removed and replaced with the new gateway feature.","Brooks Signs, Aluminous Lighting Product",2009,Award of Merit in Streetscaping,Between Main Street and Barton Street,Hamilton,"-79.8196521,43.2427434,0.0"
86,Ferguson Station,"The project is an open space on a corner site at the centre of the International Village Business Improvement Area. It provides for passive recreational use and serves as a venue for special community events and festivals. The project includes a pavillioin, sitting areas, a through block pedestrian trail and public art.","City of Hamilton - Public Works Department, Open Space Development and Park Planning, R.F. Lintach Architect Inc.. Lee Yung and Associates, Corporate Construction Inc.",2005,Award of Merit in Excellence in Landscape Architecture,Ferguson Avenue,Hamilton,"-79.86214580000001,43.2539761,0.0"
87,The GOWLINGS Building Former Bank of Montreal,This project involves construction of new offices for the legal firm GOWLINGS in the historic 1929 Beaux-Arts style former Bank of Montreal building. The building is designated under the Ontario Heritage Act and is located at the corner of Main and James Streets in downtown Hamilton.,"Melillo Architects Inc. , Yolles Group Engineering Ltd., BK Consulting, Karp Namisniak Yamamoto Architects Inc., Ira McDonald Construction Ltd.",2005,Award of Merit in Excellence in Heritage Conservation,1 Main Street West,Hamilton,"-79.87010129999999,43.2552393,0.0"
88,The Art Gallery of Hamilton Renewal,"Alterations and additions to the 1970's era Art Gallery building to provide more income generating space, resolve building envelope concerns and improve the presence of the building in the city.","Kuwabara Payne McKenna Blumbering Architects Inc., Yolles Partnership Inc., Smith & Anderson Consulting Engineers, Carinci Burt Rogers Engineering, Haisall Associates Ltd., PCL Constructors Canada Inc",2005,Award of Merit in Excellence in Architectural Design,123 King Street West,Hamilton,"-79.87249400000002,43.257139,0.0"
89,The Hamilton Energy Centre,"This facility houses a cogeneration plant which captures excess heat from electricity generation and distributes it to downtown buildings for heating. It is located on a prominent corner in the downtown, adjacent to a high school.","Lintack Architects Inc., G. O'Connor Consultants Inc., FVB Energy Inc., Millenium Engineering Ltd., Planning and Engineering Initiatives Ltd., Bestco Construction",2005,Award of Merit in Excellence in Overall Design,1447 Upper Ottawa St,Hamilton,"-79.873256,43.2606918,0.0"
